# index  number of sampling vertical levels i j
484 18 1 539
# k value
1 0.999362
2 0.999362
3 0.999363
4 0.999366
5 0.999363
6 0.999363
9 0.999363
20 0.999363
30 0.999363
40 0.999363
50 0.999363
55 0.999363
60 0.999363
61 0.999363
62 0.999363
63 0.999363
64 0.999366
65 0.999363
# now the complete profile with fillled values
1 0.999362
2 0.999362
3 0.999363
4 0.999366
5 0.999363
6 0.999363
7 0.999363
8 0.999363
9 0.999363
10 0.999363
11 0.999363
12 0.999363
13 0.999363
14 0.999363
15 0.999363
16 0.999363
17 0.999363
18 0.999363
19 0.999363
20 0.999363
21 0.999363
22 0.999363
23 0.999363
24 0.999363
25 0.999363
26 0.999363
27 0.999363
28 0.999363
29 0.999363
30 0.999363
31 0.999363
32 0.999363
33 0.999363
34 0.999363
35 0.999363
36 0.999363
37 0.999363
38 0.999363
39 0.999363
40 0.999363
41 0.999363
42 0.999363
43 0.999363
44 0.999363
45 0.999363
46 0.999363
47 0.999363
48 0.999363
49 0.999363
50 0.999363
51 0.999363
52 0.999363
53 0.999363
54 0.999363
55 0.999363
56 0.999363
57 0.999363
58 0.999363
59 0.999363
60 0.999363
61 0.999363
62 0.999363
63 0.999363
64 0.999366
65 0.999363
