# index  number of sampling vertical levels i j
1897 18 494 2700
# k value
1 2.55308
2 2.55308
3 2.55308
4 2.55308
5 2.55308
6 2.55308
9 2.55308
20 2.55308
30 2.55308
40 2.55308
50 2.55308
55 2.55308
60 2.55308
61 2.55308
62 2.55308
63 2.55308
64 2.55308
65 2.55308
# now the complete profile with fillled values
1 2.55308
2 2.55308
3 2.55308
4 2.55308
5 2.55308
6 2.55308
7 2.55308
8 2.55308
9 2.55308
10 2.55308
11 2.55308
12 2.55308
13 2.55308
14 2.55308
15 2.55308
16 2.55308
17 2.55308
18 2.55308
19 2.55308
20 2.55308
21 2.55308
22 2.55308
23 2.55308
24 2.55308
25 2.55308
26 2.55308
27 2.55308
28 2.55308
29 2.55308
30 2.55308
31 2.55308
32 2.55308
33 2.55308
34 2.55308
35 2.55308
36 2.55308
37 2.55308
38 2.55308
39 2.55308
40 2.55308
41 2.55308
42 2.55308
43 2.55308
44 2.55308
45 2.55308
46 2.55308
47 2.55308
48 2.55308
49 2.55308
50 2.55308
51 2.55308
52 2.55308
53 2.55308
54 2.55308
55 2.55308
56 2.55308
57 2.55308
58 2.55308
59 2.55308
60 2.55308
61 2.55308
62 2.55308
63 2.55308
64 2.55308
65 2.55308
